,Tweet,Sentiment
115,"Mengapa Hasil Exit Pool di luar negeri Ganjar Mahfud bisa menang telak?  1. Tidak ada sogokan Bansos 2. Tidak ada aparat yang berani intimidasi, kecuali kalau aparat nya mau ditangkap aparat negara lain. 3. Open Mind, mempunyai akses informasi yang memadai dan pikiran bebas dan terbuka untuk menentukan sikap. 4. Lebih Kritis, karena tidak ada Kades atau aparat yg sudah tertular virus, WNI di luar negeri bisa kriitis dalam menilai Paslon. 5. Percaya Diri, apapun yang dipilih murni tanpa kecemasan.",positive
116,"Di kira pak Ganjar kalau bekingan ya Bu Mega bakal menang 100% Di kira pak Anis kalau ungkit kesalahan di THN lalu, dia bakal menang  Ya emng pak Prabowo g bisa berbicara apa apa saat itu, tapi saya yakin itu adalah hal pribadi yang memang tidak bisa di bicarakan di umum",positive
117,Kubu Anies-Muhaimin dan Ganjar-Mahfud menolak hasil hitung cepat. Disebut banyak Indikasi kecurangan.  #KoranTempo https://koran.tempo.co/read/nasional/487274/mengapa-kubu-01-dan-03-kalah-pilpres-2024,positive
118,"Hasil exit poll 2004 dan 2009 juaranya SBY Hasil exit poll 2014 dan 2019 juaranya JOKOWI Hasil exit poll 2024 juaranya GANJAR.  Fakta : menang di Luar Negeri, menang pula di dalam negeri. Insya Allah GANJAR presiden RI 2024.",positive
119,AMIN MENANG DI TPS 16 PANGKALAN MASUR MEDAN JOHOR MEDAN...  ANIES : 99 Suara PRABOWO : 44 Suara GANJAR : 5 Suara  #14Feb2024AniesPresiden #14Feb2024AniesPresiden  🆘🆗,neutral
120,Saya koq masih ngarep Ganjar Mahfud... Utk membuktikan jika menang bahwa rakyat telat 5 tahun utk menetukan dengan tepat... dan pada saat itu semoga tidak berhadapan dengan cawe-cawe penguasa.,neutral
121,"caleg2 PDI daerah kan ga mau ambil resiko suara nya rusak kalo maksain ganjar masuk.., caleg2 PDI lebih tepat nya menyelamat kan diri sendiri dulu karena tau ganjar susah di angkat di daerah..,",neutral
122,"Sejumlah elite TPN, Megawati Soekarnoputri beserta Ganjar-Mahfud merapat ke Gedung High End, Jakarta Pusat, Kamis (15/2). Pertemuan ini digelar tertutup.",neutral
123,ganjar batrenya boros un,neutral
124,"Bersama @ganjarpranowo- @mohmahfudmd Kawal Demokrasi agar Indonesia Tetap Dipercaya  Demokrasi harus terus dikawal agar Indonesia tetap dipercaya oleh investor-investor negara lain.  Bersama Ganjar - Mahfud Marilah kita mendoakan untuk demokrasi, Indonesia supaya demokrasi Indonesia berjalan terus. Supaya kepercayaan terhadap Indonesia tidak berkurang karena kita memerlukan dukungan juga dari internasional. #BersamaGanjarMahfud",positive
125,anies menang prabowo menang ganjar menang tapi jusuf kalah,negative
126,"🗣Hasto: ""Seluruh aspirasi nantinya akan disampaikan melalui tim khusus  yang akan segera dibentuk oleh Tim Pemenangan Nasional Ganjar-Mahfud.""",negative
127,"Timnas Respons Gibran Mau Sowan ke AMIN: Maaf, Kami Sedang Kawal Suara  Gibran mengaku ingin segera sowan ke paslon AMIN dan Ganjar-Mahfud. Timnas AMIN memilih fokus pada perhitungan suara.  >> https://news.detik.com/pemilu/d-7194302/timnas-respons-gibran-mau-sowan-ke-amin-maaf-kami-sedang-kawal-suara?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detikcom #detikPemilu #WaktunyaMilih",neutral
128,"Pak Ganjar, kami siap dukungmu @De_Zenius #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
129,"Pemilu 2024, tanggal 14 Februari 2024 sudah usai. Hitung cepat (Quick Count) dari berbagai lembaga survei sudah me-release hasilnya dan kemungkinan tidak akan berubah hingga 100% sampel terkumpul.  01. Anies-Cak Imin: 25% 02. Prabowo-Gibran: 58% 03. Ganjar-Mahfud MD: 17%  Hasil tersebut belum resmi, masih menunggu hasil perhitungan manual dari KPU. Namun, berdasarkan hasil pemilu-pemilu sebelumnya, hasil manual KPU tidak akan berbeda jauh dengan hasil Quick Count.  Bagi paslon yg menang pemilu 2024 ini, selamat semoga bisa membawa Indonesia ke arah yg lebih baik. Jangan lupa atas janji-janji yg sudah disampaikan, tunaikan karena janji adalah amanah. Bukan jadi janji palsu kayak cinta monyet di sinetron.  Bagi paslon yg kalah, tidak perlu bersedih, kecewa pasti, tapi harus diyakini bahwa Tuhan selalu memberikan jalan yg terbaik. Amanah itu belum diberikan, masih ada kesempatan mengabdi kepada bangsa lewat cara lain.  Bagi pendukung yg jagoannya menang, jangan terlalu jumawa, sombong dan menghina yg kalah. Hidupmu tidak serta merta berubah karena capresmu menang. Sek golek mangan dewe-dewe, cicilan jg mbok bayar dewe. Hehehe...  Bagi pendukung yg jagoannya kalah, jangan terlalu bersedih hati, kecewa trus bunuh diri. Jangaaan. Ini hanyalah ""pesta"" 5 tahunan. Ini bukan kiamat, kita masih bisa melanjutkan hidup, berkarir di tempat masing-masing. Siapa tau, jalan cerita hidup kita nanti lebih seru dari yang sekarang.  Saya sebagai salah satu pendukung Ganjar Mahfud, merasa bangga bisa memberikan suara saya dan selalu mendukung pasangan ini di sosmed maupun di dunia nyata. Pasangan yg ideal, menurut saya, untuk memimpin negara besar Indonesia. Pasangan yang memberikan teladan dalam proses demokrasi dengan sebaik-baiknya di tengah penurunan proses demokrasi saat ini. Dan saya yakin, perjuangan ini tidak akan sia-sia.   Terima kasih kepada teman-teman seperjuangan, proud of you, tetap berjuang di atas kebenaran yg kita yakini. Ganjar Mahfud terbaik, NKRI harga mati.  🤟🏿🤟🏿🤟🏿🇮🇩🇮🇩🇮🇩",positive
130,"37. Maaf salah nomor diatas 36 😄  Keesokan harinya 22 april 2023 idul fitri, Jokowi menerima kehadiran Prabowo setelah sholat ied. Sebuah pertemuan luar biasa krn seharusnya ini jadwal keluarga inti.  Jokowi melihat Ganjar sdh bertindak sendiri. Sulit untuk bersatu #SoloBalapan",negative
131,"Masih nuduh curang...  Yuk pake logika selisih 2 digit lho.... 33 % selisih pak @prabowo sama si anies... 42% dgn ganjar Sedangkan dulu selisih @jokowi di 2019 dulu 5%  Logika aja 5% dari pemilih saat itu sekitar 10 jt org, itu aja ""sulit"" Krn butuh bukti valid(belum lagi klo bukti disabotase) utk menggagalkan pemilu ulang   Ini 35 % selisihnya yg berarti kurleb 71 jt org dengan data valid yang harus dibuktikan.  Klopun jika terbukti jumlahnya tidak signifikan, pemenangnya tetap #PrabowoGibran  Karena realita mayoritas rakyat pilih mereka.   Drpd ribut mulu mending bersatu, bagaimanapun juga pak Prabowo sudah jadi presiden kita, kmrn beliau capres yg kami dukung skrg beliau adalah capres kita.   Mari bersatu membangun negeri bersama #PrabowoGibran",positive
132,Pak Ganjar kalo mau dua puteran monggo diputer puter sendiri🙏🏻,neutral
133,"Ganjar Pranowo merasa ada anomali karena suara PDI-P masih tinggi di ""kandang banteng"", namun suaranya di Pilpres justru tergerus tajam. dlvr.it/T2mmrZ",neutral
134,"subtle tapi keliatan, pak alex dukung ganjar, pak heru dukung anies",neutral
135,"2024 pilih Prabowo Subianto, Presiden ke 8 Republik Indonesia, dan keliatannya akan terwujud.  Entah 2029 / 2034, Presiden ke 9 Republik Indonesia ialah Ganjar Pranowo!   Dengan segala dinamika politik yang ada, calon penerus Pak Prabowo adalah Mas Ganjar.  15 Febuari 2024.",positive
136,"Kalap si kacong Gak bisa terima kenyataan. Di TPS kampungku suara ganjar 0, dan itu fakta kalo si Ganjar junjunganmu itu bukan siapa2, gak ada yg kenal. Survey2 yg memenangkan Ganjar sblm pemilu ternyata cuma suvey bayaran utk mendongkrak elektabilitas ganjar, tp ttp gak berhasil",neutral
137,"dr sekarang 2024 kader pdip dan pak ganjar dan bu mega dan bu puan harus evaluasi total trus kedepannya klo mau pentas 2029 supaya bisa menarik suara masyarakat terutama di jateng, jatim dan bali. dari lokomotif sampai gerbongnya",positive
138,"lha itu anies sudah punya kuasa, betapa hebatnya air disuruh parkir, aibon 82m, bambu 550jt, sungguh hebat, ganjar juga sudah punya kuasa jl provinsi solo-pwd bisa limpah proyek ke pusat saking mangkrak, hebat sekali",neutral
139,Melalui integritas dan konsistensinya Bu Atikoh mampu menegakkan keadilan memberikan solusi konkret dan merangkul seluruh lapisan Rakyat dengan penuh kecerdasan. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,positive
140,ne ganjar mahfud menang besok minggu lamaran 😭,neutral
141,"di kampungku (jateng) kader banteng cuman nitipin banner ganjar-mahfud sama bendera pdip, di bom logistik sama caleg partai pendukung 02, ganjar masih menang tapi tipis banget 😅",negative
142,Gw jg kalau anies kalah dan ganjar yg menang mah ikhlas2 ajaa. Tp yg menang malah yg ngerusak konstitusi dan pelanggar HAM. Tp doain aja gw ikhlas dan semoga yg milih 02 semuanya jd oposisi setelah mereka dilantik. Sama2 kawal ajasii,positive
143,Semoga pak ganjar cuma becanda ya.. Karena kalau serius pasti bakalan canggung baca quotes ini dari cawapres nya.. 🤣,negative
144,Megawati hingga Ganjar-Mahfud Merapat ke Gedung High End Siang Ini #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #indonesialebihbaik #GanjarMahfud2024 #GanjarMahfudM3nang https://www.cnnindonesia.com/nasional/20240215120343-617-1062947/megawati-hingga-ganjar-mahfud-merapat-ke-gedung-high-end-siang-ini,negative
145,"lihat ganjar kok sedih ya, sehat selalu pak🥺",negative
146,"kalo liat dr ekspressi kagetnya ganjar, kayaknya ada yg ga beres di barisan.   mungkin ada urusan internal PDIP yg bikin mesinnya jalan setengah hati",neutral
147,Jika waktu bisa diputar ulang ya pak Ganjar. Saatnya menatap masa depan.,neutral
148,"masi sombong aja tu org, di kampung gue aja suara lu kurang dari 10 ganjar😭",neutral
149,"Hingga titik akhir, kami akan terus berdiri teguh di sampingmu, Mas Ganjar @naazhiff #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",positive
150,Ganjar adalah inspirasi bagi kami untuk terus berjuang menghadapi segala rintangan @multatulisme #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,positive
151,TPN Ganjar-Mahfud dan Timnas AMIN Bakal Kerja Sama Usut Kecurangan Pemilu 2024 dlvr.it/T2lJbZ,positive
152,pak ganjar goofy bener anying wkkwwkwkwk,neutral
153,"Setiap tantangan di perjalanan perjuangan, Ganjar hadapi dengan tegar dan penuh semangat @midwayykid #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",positive
154,Saya sering membahas hal ini dengan seorang sahabat. Saya merasa PDI-P setengah hati mendukung Ganjar Pranowo. Saya lihat mesin partai tidak bergerak. Yang bergerak di Medsos dan di lapangan cuma para relawan. Sementara PDI-P fokus mengejar kemenangan partai.  Apapun hasilnya terima dengan lapang dada dan tetap semangat.🇮🇩,negative
155,Kalau waktu itu Bu Mega mengizinkan pak Ganjar mau jadi cawapresnya pak Prabowo.  1. apakah pak Jokowi di sebut memainkan politik dinasti 2. Apakah ada yang menyebut anak haram MK 3. Siapa yang dulu pengen menyatukan pak Prabowo dan pak Ganjar sampai sekrang bilng politik dinstiy,positive
156,Ahh emang ga ada kan ?? Hoax aja pendukung ganjar pantesan suaranya sampe ke awan 🤣🤣🤣🤣🤣,neutral
157,"Ganjar-Mahfud, mengemban amanah rakyat dengan penuh tanggung jawab @idyllic_dino #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
158,"Mungkin lebih baik dari ini,tapi ttp tdak akan berpengaruh banyak. Wong levelnya belum sampai sana kok,,maaf ya pak ganjar...  ""Wong Saya suka kok...!!"" 😭",negative
159,Gemerlap Ganjar-Mahfud menyinari @jinkooqz #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,neutral
160,"Salahnya Jokowi gak netral !  Coba kalau netral seperti tidak ikut campur urusan diaspora di LN yg memenangkan Ganjar Mahfud, maka di tanah air juga bakal menang Ganjar tuh.",negative
161,"Banyak faktornya, beda orang beda alasan. Ada yang ga (atau belum) tertarik dengan figur Anies, ada yang masih males sama Ganjar gegara gagal pildun, ada yang udah ogah banget milih PDIP, juga ada yang masih setia mengidolakan sosok Jokowi, maka akhirnya pada berlabuh ke 02 🙂",negative
162,"inget ga dulu pa prabowo juga gugat mk buat buktiin bahwa dia di curangin pas 2019? hasil nya apa? skrg Pasrah aja sama hasil Quick Count dan move on. terimakasih pa Anis dan pa Ganjar sudah menjadi capres yang ""FAIR"" untuk pemilu inii, love you paa sehat selalu💙",neutral
163,Paslon 03 Ganjar @ganjarpranowo dan Mahfud MD @mohmahfudmd tiba sekitar pukul 11.00 WIB dalam Rapat Internal Partai Koalisi/Pengusung usai Pencoblosan Pilpres. Rapat bertujuan untuk evaluasi dan laporan dari daerah   Download #metrotvxtend di app store & play store  #ganjarpranowo #mahfudmd #pemilu2024 #indonesiamemilih,positive
164,"lah bro, kalo emang pak gub nya di idolakan,  kenapa harus pindah? kenapa ga loyal aja ke pak gub nya? knp harus ada suara terbagi ke kubu ganjar mahfud?",neutral
165,"Real count di kpu uda 43.58%, prabowo strong di 56-57%, anies di 24%, ganjar di 18%. Uda sulit buat ngerubah hasil, suara masuk hampir 50% hampir pasti 02 yg menang pemili 2024",neutral
166,Dan yg di tayangin itu hoax. Kemarin ngikutin quick count perhitungan ganjar ga pernah lebih dri 20 dan pragib ga pernah lebih dari 63 kok ini bisa beda di kompas atau editan pendukung 03 🤣😂🤣😂🤣😂,positive
167,"Update Real Count KPU RI pada hari Kamis, 15 Februari 2024 pukul 15.30 WIB.     1. Anies - Imin : 24,09%  2. Prabowo - Gibran : 56,94%  3. Ganjar - Mahfud : 18,16%    Data masuk : 43,58%.    Perolehan sementara dari hasil rekapitulasi sementara KPU menunjukkan bahwa, Prabowo-Gibran unggul.",negative
168,"Ganjar ama Mahfud, emangnya mau disuruh2 sama si anak songong?! 🤔",neutral
169,"Kepercayaan rakyat Jawa Barat kepada Ganjar tidak pernah luntur, karena ia membawa semangat perjuangan yang membara @midnchampagne #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",positive
170,Ganjar juga naik ga sih?,neutral
171,Berarti ini Anies vs Jokowi vs Ganjar,neutral
172,"no, sebelum jokowi pindah ke 02, elektabilitas ganjar paling tinggi. jokowi game changernya",negative
173,Percuma kalo suara Ganjar gak naik.👍,neutral
174,Sy maunya khusnu dzon  QC Parpol • PDIP          22% • PPP              3% • Perindo       3% • Hanura         2% T o t a l          30%  QC Pilpres • Ganjar         17%  •mungkinkah ada penipu di tubuhku,neutral
175,"Real Count KPU RI 39,33%: Anies 24,56%, Prabowo 55,97% dan Ganjar 19,46 % https://www.oposisicerdas.com/2024/02/real-count-kpu-ri-3933-anies-2456.html",positive
176,WOI PAK ANIES DISINI LUCU BGT  And there's Pak Ganjar,positive
177,"reneo njar ganjar kosku ayo selawe ewunan aku ngerti keaadanmu saiki, nek jek kurang anis karo imin kon join sisan. celeng o paroro ki ancenan",neutral
178,"Di tmpat gue yang bisa dipastikan orang²nya masih awam sama AMIN, trnyata vote mrk oke juga. Dari 211 voter, amin dapet suara 79, ganjar 44 pak prab 88. Lumayan oke lah",positive
179,Dukungan kami pada perjuangan Mas Ganjar tidak akan pernah luntur @me_yrrehc #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,positive
180,"Hasil Real Count KPU di Luar Negeri: AMIN 29,43%, Prabowo-Gibran 31,4%, Ganjar-Mahfud 39,17% https://www.oposisicerdas.com/2024/02/hasil-real-count-kpu-di-luar-negeri.html",positive
181,"Di tengah badai perjuangan, Mas Ganjar adalah mercusuar yang menuntun kami menuju keberhasilan @meirabcdefghijk #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
182,"ROCKY GERUNG, JOKOWI TIDAK MUNGKIN INGINKAN ANIES APALAGI GANJAR MELAWANNYA DI PUTARAN KE 2....‼️  #KPBBiangCurangBrutal #KPUBiangCurangBrutal 🆘🆗",neutral
183,Gue blm gembira meski pdip hattrick. Gue masi nunggu suara ganjar yg perlahan mulai naik. Dan konsen nunggu hasil2 kecurangan dr daerah2 swrta nunggu tabulasi tim ganjar mahfud.,positive
184,"Ganjar, dengan kesetiaanmu pada perjuangan, kami merasa yakin akan meraih kemenangan @MiracIe911 #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
185,Alasan kenapa gue tidak akan menyerang Pak Ganjar dan akan vokal membela beliau juga apabila beliau dicurangi. I respect my leader's instruction.,negative
186,"Dalam setiap langkah, perjuangan Mas Ganjar adalah cermin dari semangat rakyatnya @mcaldives #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
187,"Bersama Pak Ganjar, kami siap menjalani segala rintangan dalam perjuangan ini @leefylley #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
188,"Di ancam mata mu, di sini ganjar menang 55% Prabowo 45% desa Jawa Tengah, rata rata kades pilih ganjar",neutral
189,Jalan baru bersama Ganjar-Mahfud @isntforyouu #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,negative
190,"Ganjar, semangatmu adalah api yang tak kunjung padam dalam perjuangan politik yang kita hadapi bersama @kuacikesetrum #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",negative
191,+62 823-1056-4879 a/n Rianggi Legawa Luki. ORANG YANG AMBIL UANG SAKSI DALEM PRESIDEN DAN WAPRES GANJAR MAHFUD @ganjarpranowo @sahabatganjar @TPNGanjarMahfud  mohon bantuannya tim. #GanjarMahfud #pdip #viral #pem,negative
192,Mardani ❤️ Ganjar sangat serasi andai bergandengan tangan ahhahay😅.. huek 🤮,neutral
193,Tidak ada yang bisa menghentikan langkah perjuangan kami bersama Pak Ganjar @miliknyakarina #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,neutral
194,Kesetiaan kepada pemimpin yang berintegritas dan visioner seperti Ganjar-Mahfud adalah pilihan yang bijak @kahofork #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,positive
195,"Ganjar adalah inspirasi dalam setiap langkah perjuangan kami, yang tak pernah surut @MariaWumbos #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",negative
196,bilang aja ibu2 mau ngelabrak kader yg ga becus naikin ganjar🤣🤣🤣🤣🤣🤣🤣🤣,neutral
197,Tiada kata menyerah bagi Ganjar dan para pendukungnya dalam perjuangan ini @LaZanna027 #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,neutral
198,"Dukung Ganjar Mahfud, keadilan terwujud @jakeyoiz #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
199,"Dalam hati kami, Ganjar adalah pelita dalam gelapnya perjuangan politik @last_kingja #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
