,Tweet,Sentiment
127,"""tetap kawal. real count belum keluar""  apanya yang mau dikawal sih? lo berharap hasil apalagi? anies sudah jelas kalah. mustahil melawan orang yang punya dana besar, investasi suara di pemilu sebelumnya, dan juga tangan-tangan negara yang mendukungnya.",negative
128,Kalian emg pada blm siap punya presiden anies udah lah i stop read at “trs knp ?” 😭🤣,positive
129,Timnas Anies-Muhaimin menilai langkah Jokowi yang memberi selamat ke Prabowo-Gibran tak bijaksana. dlvr.it/T2mfb3,positive
130,"01 Anies-Muhaimin  Keunggulan: Anies jadi capres paling berpendidikan dalam hal bicara dan debat, visi dan misi sangat menarik yaitu 'perubahan', punya kekuatan lebih di Jawa Barat&DKI Jakarta  Kekurangan: Terlalu politik identitas, wakilnya gaketolong",positive
131,Dukungan yang terus bertambah membuktikan bahwa Anies adalah pilihan yang tepat untuk menjadi Presiden.,neutral
132,Anies banget ini wkwkw,neutral
133,"Aku single fighter  D rmh ad Bpk, Ibu, 3 kk laki2, 3 org istri mrk, semua all in 02 Ad sdr2 dr bpk-ibu, ad spu2 lain, sbnrny Ok dg Pak Anies, tp tdk OK dg wakilnya Krn mrk lulusan pondoknya Gus Dur, jd msh ad perasaan sakit hati lah  Dan tiap ad kesempatan, mrk cekokin aku dg 02",neutral
134,"Dari awal, emang peluang menang pak Anies kecil. Tapi saya tetap mencoblos 01. Dan saya sama sekali gak nyesal sudah nyoblos 01. Perjuangan masih panjang 💪🏼  Selamat pak Prabowo, mas Gibran, dan para pendukungnya. Lancar-lancar untuk pembangunan IKN dan makan siang gratisnya 🫡",neutral
135,Anies adalah figur yang paling memungkinkan untuk membawa negara ke arah yang lebih baik sebagai Presiden.,neutral
136,Siang kamis selamat 02 Paman Anies 8aswedan   Open vcs real count sosmed Konten private harga Wa aja 082269255251 #vcs,neutral
137,Rakyat semakin yakin bahwa Anies adalah pemimpin yang akan membawa perubahan sebagai Presiden.,neutral
138,Sampai Jumpa Di Putaran kedua  #AMINmenang #AMINputaran2,neutral
139,Anies telah memenangkan hati dan pikiran rakyat dengan komitmen dan dedikasinya untuk menjadi Presiden.,neutral
140,"Dengan karisma dan integritasnya, Anies memenuhi syarat sebagai calon Presiden yang dihormati.",neutral
141,Anies Baswedan 🤝 Partai Buruh,neutral
142,Anies setelah tau dia gagal jadi presiden,neutral
143,Anies telah membangun fondasi yang kokoh untuk melangkah sebagai Presiden yang efektif.,neutral
144,menggambarkan kondisi yang kita takuti,neutral
145,"Nah ini bener, mengatrol suara lewat pak Anies",neutral
146,"Semua persiapan dan langkah yang diambil Anies mengarah pada tujuan akhirnya, yaitu menjadi Presiden.",neutral
147,Anies telah memperoleh dukungan luas sebagai calon Presiden yang diharapkan.,neutral
148,"Business Plan paslon Pilpres yang belum beruntung :  Anies : nyagub lagi di DKI 2024, diusulkan jadi ketum PKS  Imin : dikudeta dari ketum PKB, jualan sarung merk Slepet  Ganjar : jadi influencer jualan Jaket merk sat set Mahfud : jadi Dosen dan dampingi karni ilyas di ILC",positive
149,"Maafkan bila saya masih optimis.  Pesimisnya saya adalah tidak akan lagi ada yang seperti Anies karena kebodohan, kemiskinan dan kemelaratan akan dipelihara negara sebagai ceruk suara.  Orang pintar akan ikut gabung menjadi oligarki atau pembantu oligarki.",positive
150,"menarik, terus dinamis. ayo kawal  Hasil ""Real Count"" Web KPU di Jakarta Data 50,36 Persen:  1. Anies 38,89 Persen 2. Prabowo 41,79 Persen 3. Ganjar 19,31 Persen  Klik untuk baca: https://megapolitan.kompas.com/read/2024/02/15/09534021/hasil-real-count-web-kpu-di-jakarta-data-5036-persen-anies-3889-persen?utm_source=Twitter&utm_medium=Referral&utm_campaign=Top_Mobile",positive
151,Dukungan yang terus mengalir membuktikan bahwa Anies adalah kandidat yang layak untuk menjadi Presiden.,neutral
152,anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪 anies kalah 🤪,negative
153,INFONYA  ALHAMDULILAH PKS NAIK DARI 8% KEMAREN  NAIK LAGI  JADI 11 %  TINGGKAT NASIONAL naik 3 kali lipat anehnya anies🤣😂🤣😂🤣😂,positive
154,Anies telah menunjukkan ketangguhan dan keuletan dalam perjalanan politiknya menuju jabatan Presiden.,neutral
155,"Kqrena Pak Anies tau, yang dilawan itu cukong2 penguasa negeri ini, berat lah lawan kekuasaan, semua posisi sudah dikuasain",neutral
156,"Mencium Bau Dugaan Kecurangan di Pilpres 2024, PDIP dan Kubu Anies-Muhaimin Melebur Bentuk Tim Khusus https://www.oposisicerdas.com/2024/02/mencium-bau-dugaan-kecurangan-di.html",positive
157,"iyapp, walaupun yg dateng di desak anies itu dari berbagai kalangan, tetep aja yg bisa nerima pesannya itu ga banyak.",neutral
158,"lawak lu ah, kayak anies omongannya kebanyakan kosong isinya cari lagi info yg banyak ya pinter:)",neutral
159,"Elu semua tau ngga? 6 orang petani, generasi last boomer, sekali pernah gue stelin dari YouTube acara Desak Anies.  Mau tau respon mereka?  Mereka kagum. Dengan boso jowo, mereka bilang anak-anak skrg banyak yg pinter-pinter.  So, kalian ngga usah dengerin om/tante GenX admin—",negative
160,"Yth Sahabat Pendukung AMIN  Pemimpin kita Pak @aniesbaswedan & Pak @cakimiNOW menyampaikan pesan kepada semua Pejuang Perubahan..  Bahwa gerakan Perubahan ini bukan sekedar pemilu saja, tapi di semua aspek, terutama demkorasi  Pak Anies :  “Saya akan berada digerakan perubahan ini bersama Rakyat, dan tidak akan bergeser sedikitpun……  Kami ingin tegaskan.. Saya adalah demokrat sejati, kami akan menghormati hasil yang dimunculkan dari aspirasi rakyat Karena itu adalah kemauan rakyat Dan kita harus menghormati kemauan rakyat”  Cak Imin : “ Jangan lengah, jangan terprovokasi dan jangan terhipnotis oleh berita-berita maupun berbagai perkembangan yang dimainkan..  Sama dengan pemilu yang lalu, belum apa-apa sudah sujud syukur , kita harus terus waspada..waspadalah..karena pada dasarnya proses ini masih panjang “  Ayo SEMANGAT KAWAL SUARA ✊🏻  Bismillah, dengan izin Allah, AMIN menang, Rakyat menang ☝🏻  #01AMINwinElection ☝🏻",neutral
161,LAH KOCAK!   Bapaknya Gibran itu 10 tahun jadi Presiden dan pak Prabowo 5 tahun jadi Mentri.   Trus baru sekarang kalian sadar klo banyak rakyat susah makan? Trus baru sekarang lo mau kasih makan sama susu?   ITU TANDANYA KALIAN CUMA INGAT RAKYAT KALO ADA MAUNYA DOANG SUKIJANNN!!,negative
162,"imo Anies atau timnya ngincer 2029. Pilpres kali ini buat cek ombak, klo menang syukur, kalo kalah udah lumrah. Dia mungkin emg ngincer prosesnya dulu buat bangun basis massa. Tpi klo tb"" gabung koalisi, emg taek.",neutral
163,Anies: Saya akan Terus Berada di Bawah Gerakan Perubahan https://www.akurat.co/politik/1304161725/anies-saya-akan-terusberada-di-bawah-gerakanperubahan,neutral
164,Ada yang kepikiran dengan warga kampung Bayam? Harapan mereka cuma di Pak Anies buat dapat kembali hak yang harusnya mereka terima.,negative
165,"Poltracking utk DKI. Bahkan Anies kalah oleh Prabowo. Padahal katanya waktu Anies jadi Gubernur, prestasinya amazing bin excellent. Tp warga DKI ternyata nggak sependapat.",negative
166,"Putaran pertama ahok menang,putaran ke2 anies menang tapi sesama anak bangsa terpecah belah",neutral
167,"Anies Unggul Tinggi di Sumbar, Prabowo 37 Persen, Ganjar Tidak Sampai 5 Persen https://www.oposisicerdas.com/2024/02/anies-unggul-tinggi-di-sumbar-prabowo.html",negative
168,AMIN MENANG DI TPS 16 PANGKALAN MASUR MEDAN JOHOR MEDAN...  ANIES : 99 Suara PRABOWO : 44 Suara GANJAR : 5 Suara  #14Feb2024AniesPresiden #14Feb2024AniesPresiden  🆘🆗,neutral
169,"Ini perang psikologis pihak Pra-Gib, supaya lawan2nya lemah. Angka Quick Count ga bisa dan jangan dijadikan patokan Inget Ahok menang menurut Quick Count di pilgub 2017,ternyata Anies yang menang menurut Real Count KPU. Jangan lemah karena yg KPU hitung baru 10% nya. Ayo semangat",positive
170,Gak ada sejarahnya hasil quick count beda sama hasil real count. Kalah mah kalah aja gak usah koar² bilang curang. Lucu bgt nih pendukungnya anies wkwkkwkwkk,negative
171,"Anies siap oposisi, pdip siap oposisi, ini kalo cak imin sama surya paloh tiba2 gabung penguasa tak slepet pake gagasan perubahan",positive
172,"Masih nuduh curang...  Yuk pake logika selisih 2 digit lho.... 33 % selisih pak @prabowo sama si anies... 42% dgn ganjar Sedangkan dulu selisih @jokowi di 2019 dulu 5%  Logika aja 5% dari pemilih saat itu sekitar 10 jt org, itu aja ""sulit"" Krn butuh bukti valid(belum lagi klo bukti disabotase) utk menggagalkan pemilu ulang   Ini 35 % selisihnya yg berarti kurleb 71 jt org dengan data valid yang harus dibuktikan.  Klopun jika terbukti jumlahnya tidak signifikan, pemenangnya tetap #PrabowoGibran  Karena realita mayoritas rakyat pilih mereka.   Drpd ribut mulu mending bersatu, bagaimanapun juga pak Prabowo sudah jadi presiden kita, kmrn beliau capres yg kami dukung skrg beliau adalah capres kita.   Mari bersatu membangun negeri bersama #PrabowoGibran",positive
173,Msh jd misteri knp fans 01 merasa IQ nya lbh superior dibanding fans 02. Dugaan sy krn mrk menemukan inang yg dianggap intelek spt Anies/Tom. Sbg benalu mrk merasa bisa menghisap IQ dari inangnya lalu self proclaimed IQ nya jd melejit tinggi. Ga taunya yg diisepnya sampah,positive
174,"Gua bangga dengan Hasil Suara ANIES BASWEDAN Tanpa Bantuan MK & bantuan Elemen lain nya bisa kasih perlawanan itu Luar biasa....  Setelah melihat DIRTY VOTE Pilpres ini akan berlangsung 1 Putaran sudah tidak kaget lagi  Perjuangan Kita lebih sulit karena melawan bangsa sendiri"".",neutral
175,Tiga orang meninggal dunia saat mengikuti kampanye akbar pasangan nomor urut 1 Anies Baswedan-Muhaimin Iskandar (AMIN) di Jakarta International Stadium (JIS) pada Sabtu (10/2/2024) lalu.   Anies berharap perjuangan ketiganya dalam mendukung AMIN tidak akan sia-sia. Eks Gubernur DKI Jakarta ini pun berjanji kepada ketiga relawannya yang telah gugur untuk melanjutkan mimpi mereka mencapai Indonesia yang adil dan makmur.  Simak berita selengkapnya di https://bitly.ws/3d4bW #HardNews_Viral #NewsOne #NO01 #CariBeritaditvOne #AniesBaswedan #KampanyePamungkasAMIN #ViralJIS #Politik #KamiKabarkanAndaPutuskan #MauMemilih #tvOneTVPemilu,positive
176,"Menunggu thread kumpulah kesalahan Anies, tag gw ya klo udh ada yg buat 🙏",neutral
177,"Ketua Umum Partai NasDem Surya Paloh menyatakan akan menunggu hasil perhitungan suara KPU meski tetap akan melakukan evaluasi internal. Menurut Surya Paloh, hal ini sesuai dengan pernyataan calon presiden Anies Baswedan.   #pemilu2024 #pilpres2024 #theelectionchannelmetrotv #indonesiamemilih #liveeventindonesiamemilih #aniesmuhaimin #prabowogibran #ganjarmahfud @NasDem @KPU_ID",positive
178,"*BUKTI TEMUAN OLEH PAKAR AHLI DIBIDANGNYA YANG DIDUGA KECURANGAN OLEH APLIKASI SI REKAP, KPU*  *Sudah diperingatkan jauh sebelum pencoblosan Pilpres 2024... Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Yang ngomong bukan saya. Clear.*  *Ada Penggembungan Suara Di suara paalon 02 dan yabg di Rugikan Penurunan Paslon 03, Dari Penyebab Aplikasi SI REKAPITULASI Yang Di Buat Oleh KPU.*  *Artinya Itu Sudah Di Rekayasa Bentuk KECURANGAN MASIF Dan TERSTRUKTUR CRIME ORDINARI MASIF OLEH PIHAK KPU !!!*  Mohon Atensinya @bawaslu_RI",neutral
179,"Seandainya dibelakang anies bukan surya, mungkin gw mau nyoblos dia  Masalahnya surya njir. Dulu gw inget betul tuh kelakuan enggar gara² surya yang import beras, garam, gula saat petani lokal panen raya, bahkan surplus terutama beras yang bikin petani rugi saat itu",negative
180,SERU BANGET DI KELAS GUE SIBUK MEWING SEMENTARA ORANG PADA SAKIT HATI ANIES KALAH🤫🤫🧏🧏,negative
181,"Anies-Muhaimin 'Perkasa' di Aceh, Unggul Jauh 78.38 Persen di Situs Kawalpemilu https://www.oposisicerdas.com/2024/02/anies-muhaimin-perkasa-di-aceh-unggul.html",neutral
182,Eh coy yang nerima Hitler di garut siapa? ANIES KAN ? padahal jokowi udh teriak teriak dari jauh hari buat nolak Hitler tapi lo pada otak udang. ya itu ga realistis kebanyakan polah.,negative
183,"Anies: saya tetap ada di jalan perubahan & tidak akan pernah bergeser sedikitpun, proses perhitungan belum selesai teruskan perjuangan..",negative
184,Anies Kalah dari Prabowo di TPS Surya Paloh dan Tom Lembong   Rugi dong ....  https://cnnindonesia.com/nasional/20240214192032-617-1062651/anies-kalah-dari-prabowo-di-tps-surya-paloh-dan-tom-lembong?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmed,positive
185,"Sebenarnya saya ga mau komen cuman anda sepertinya salah paham soal ini, yg saya lihat sejauh ini setiap ada perdebatan soal ide dn gagasan 02 selalu menghindar dan lari tidak menjawab terus nyebarin hoax soal rekam jejak anies di DKI Jadi bahkan orang paling sabarpun ada batasan",negative
186,Tapi emang pada masih songong sih..pantes dulu pak prabowo kalah. Pendukungnya dulu itu model2nya kyk yg ada di ganjar dan anies skrg. 🤣,neutral
187,Figur negarawan di negara ini yang patut jadi contoh dan teladan hanya bapak @aniesbaswedan untuk saat ini. Apapun hasilnya nanti saya berharap bapak tetap jadi anies baswedan yang selama ini kami doakan dan tidak masuk dalam lingkaran pemerintahan seperti ini 🙏🏻🙏🏻,positive
188,"Anies Baswedan: Saya Demokrat Sejati, Saya akan Hormati Hasil dari Aspirasi Rakyat https://news.republika.co.id/berita/s8vnpl377/anies-baswedan-saya-demokrat-sejati-saya-akan-hormati-hasil-dari-aspirasi-rakyat",neutral
189,"Lah, PKS itu paling militan kadernya  Di 2019 dah terbukti  Justru dulu gerindra dan sekarang nasdem ga terlihat loyalitasnya di TPS2",neutral
190,"iyaa betul ituu, ayoo semangat doain Abah Anies🙏🏻",neutral
191,Aneh ya pendukung2 anies ini... Berbulan2 semangta 45 mau anies karna dukung perubahan. Eh pas hari H pesimis sekali... Padahal pak aniesnya aja legowo kok suruh nunggu real count.,negative
192,Pak anies udh kek Hamas wkwkwk,neutral
193,Masuk lagi DM info kertas C1 dari net..  Ds balunijuk kec merawang kab bangka babel  Bangka Belitung Anies menang Genk di salah satu TPS,negative
194,"Pada sadar gak sih kalau SEANDAINYA Anies 8aswedan menang real count Rakyat yg cuma tau trand GEMOY pasti sudah terpatri dalam otaknya yg onoh yg menang dan pasti semua MENGANGGAP Anies curang maksa untuk menang Ngerti gak sih, seolah-olah playing victim nanti jadinya",negative
195,Btw pak Anies kalo mau jd gubernur Jatim aku sih welcome banget pak. 👀  Mari kita usahakan transportasi massal terintegrasi untuk Surabaya - Sidoarjo - Gresik - Lamongan - Pasuruan - Mojokerto itu.,negative
196,yang ngancem nembak anies di tiktok gmn hendrik?,neutral
197,"Real Count KPU 5,66%: Anies 21,9%, Prabowo 57,74%, Ganjar 20,37%  KPU mulai menampilkan hasil hitung suara #Pemilu2024. Prabowo unggul diikuti Anies, lalu Ganjar. Begini hasil sementaranya:  >> https://news.detik.com/pemilu/d-7193868/real-count-kpu-5-66-anies-21-9-prabowo-57-74-ganjar-20-37?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detikcom #detikPemilu #WaktunyaMilih",positive
198,"eh jujur gue sakit hati banget bacanya, asal lu tau kader2 pks tuh paling all out dukung anies, mereka yang turun sampe ke grassroot sampe ke hari-H saksi 01 tuh dari PKS SEMUA, nasdem sama pkb mana? GAK ADAAAA tetep aja mereka yang dijadiin kambing hitam, sakit lu semua",negative
199,Selamat untuk Pak Anies Baswedan dan Pak Muhaimin Iskandar.,neutral
